transcript_id	X5A1	X5A2	X5A3	X5W1	X5W2	X5W3	sampleA	sampleB	logFC	logCPM	PValue	FDR
TRINITY_DN1360_c0_g1_i1	65	136	7	41	154	222	6A	6W	-0.468068882257399	3.46799550943616	0.589756845021465	0.732318550537539
TRINITY_DN26456_c0_g1_i3	1	5	0	0	7	11	6A	6W	0.166756489565031	2.42323812005284	0.854444044344962	0.931603752388802
TRINITY_DN3402_c0_g1_i1	56	150	4	3	56	59	6A	6W	1.87866689366063	3.71574959682756	0.0227784965276196	0.0736212661063144
TRINITY_DN3204_c0_g1_i1	1	6	3	0	0	2	6A	6W	0.68999882864755	4.15213158950587	0.520180818629615	0.671901236072441
TRINITY_DN99527_c0_g1_i1	5	26	2	2	25	48	6A	6W	-3.61456664046463	0.881848392993996	0.0079756219481378	0.0352189444023577
TRINITY_DN8605_c0_g1_i4	0	0	0	5	13	22	6A	6W	1.01002846870531	1.49546288301804	0.326518767397508	0.482284496860244
TRINITY_DN5406_c0_g1_i4	17	50	2	5	19	49	6A	6W	0.328205342621405	3.59739462000546	0.712436920579802	0.830291001050938
TRINITY_DN136427_c0_g1_i1	0	0	0	3	2	7	6A	6W	-5.47687088272168	-0.0409285897148616	0.0442294612005026	0.116145020076285
TRINITY_DN11483_c0_g1_i2	19	31	2	37	99	58	6A	6W	-2.84246015928321	2.80206039507096	0.0018971249776306	0.013178563573997
TRINITY_DN9331_c0_g1_i5	0	16	0	0	11	9	6A	6W	6.99394470447119	1.59373651900256	0.0291506136906766	0.0870793528472732
TRINITY_DN752_c0_g1_i10	11	28	0	0	4	19	6A	6W	1.01713152249778	2.72317650111796	0.387664648050245	0.546197592759925
TRINITY_DN7199_c0_g1_i1	14	29	0	0	23	46	6A	6W	-5.4104340784984	5.34814689741188	1.20125075067535e-10	1.29136011721889e-08
TRINITY_DN30442_c0_g1_i1	0	0	2	0	1	4	6A	6W	0.463581506695221	1.40813794847735	0.616319235258411	0.754509443043041
TRINITY_DN3250_c0_g1_i9	16	18	23	19	17	26	6A	6W	0.132579058848187	1.99697836281331	0.918700571037063	0.971519503191133
TRINITY_DN3410_c0_g1_i2	12	27	0	5	40	61	6A	6W	0.240984678553232	1.85132413879615	0.789583875468343	0.886824584983195
TRINITY_DN4261_c0_g1_i1	0	0	5	0	1	4	6A	6W	-0.0365775105817877	1.87117126225265	0.999999999999999	1.0
TRINITY_DN6939_c0_g1_i2	19	45	1	0	4	1	6A	6W	1.00934129993411	4.16276093518936	0.286628682344655	0.43725600118498
TRINITY_DN3174_c0_g1_i1	11	17	0	0	0	4	6A	6W	-4.80391282622013	2.31694518305447	0.0066767283111313	0.0310551255094769
TRINITY_DN14713_c0_g1_i2	0	0	1	358	0	1	6A	6W	-1.20008375203075	0.761618804985204	0.347726293951016	0.503730271564356
TRINITY_DN3831_c0_g1_i6	0	0	0	1	4	0	6A	6W	0.8221847372627	3.00650787981897	0.372934571197967	0.530750986011772
TRINITY_DN2667_c0_g1_i1	2	3	13	0	3	3	6A	6W	1.15990627380134	3.4646766671033	0.124558648870303	0.239288499725011
TRINITY_DN11426_c0_g1_i1	1	6	9	0	2	4	6A	6W	6.41727687108836	1.16897699614148	0.041235134004405	0.110399160964603
TRINITY_DN154849_c0_g1_i1	0	0	0	1	3	2	6A	6W	-3.37452918246829	0.028740473775596	0.0490803547523904	0.125053043143056
TRINITY_DN13214_c0_g1_i1	2	0	1	0	4	8	6A	6W	6.40551150470018	1.15156930047233	0.0070407978040906	0.0322901663660085
TRINITY_DN7633_c0_g1_i13	15	22	0	0	0	0	6A	6W	0.545168355307719	2.00030895007401	0.551532043777854	0.699484937346882
TRINITY_DN6850_c0_g1_i2	95	227	8	42	105	157	6A	6W	1.98849843042724	3.92783887927303	0.0268916821841459	0.0820321215632968
TRINITY_DN3231_c0_g1_i1	2	9	24	3	6	1	6A	6W	-1.28958327709049	2.48924527104399	0.402417491631918	0.560898694165875
TRINITY_DN26675_c0_g1_i2	32	67	4	12	41	33	6A	6W	-0.567766656951207	1.4390662699136	0.522231456843203	0.673836826363504
TRINITY_DN21606_c0_g1_i1	3	0	2	0	0	0	6A	6W	-6.46797355561206	0.603456024059999	0.0008328815877112	0.0071385465840892
TRINITY_DN21092_c0_g1_i1	0	7	0	0	0	5	6A	6W	-0.979389869627953	0.622649763774217	0.45013824071701	0.607121867245424
TRINITY_DN3352_c0_g1_i3	4	6	0	0	2	6	6A	6W	2.29665067711747	0.869323856643749	0.226060817623218	0.364263228397182
TRINITY_DN24315_c0_g1_i1	0	2	3	0	5	0	6A	6W	0.401383610560469	2.01810627438795	0.716963907904032	0.833888009333422
TRINITY_DN18240_c0_g1_i1	0	0	4	0	0	8	6A	6W	0.273965274196206	3.55150095362494	0.824372737046536	0.912133933555037
TRINITY_DN3102_c0_g1_i1	1	14	38	1	7	2	6A	6W	5.62753342291502	0.639542731025822	0.096105325119851	0.196838031515833
TRINITY_DN24135_c0_g1_i1	21	21	2	1	12	22	6A	6W	-3.47057390627754	0.845533177944221	0.0031099225422055	0.018526708901025
TRINITY_DN10878_c0_g1_i1	0	0	4	0	3	1	6A	6W	1.43170354367087	1.46468678648764	0.319771651836818	0.474752127186342
TRINITY_DN2126_c0_g1_i1	0	14	0	0	6	0	6A	6W	3.2092575888551	6.67162083022837	1.36988230589723e-05	0.0002796750367742
TRINITY_DN28279_c0_g1_i1	2	0	1	2	0	1	6A	6W	-0.716397730940159	2.66008859502193	0.491311242175601	0.64545069491856
TRINITY_DN3453_c0_g1_i3	5	0	0	0	6	8	6A	6W	1.09851778210477	2.91368475719262	0.231588052759649	0.370922573849313
TRINITY_DN126361_c0_g1_i1	0	0	1	2	2	2	6A	6W	-3.45006876665378	0.0122730592000654	0.0496424317433048	0.126167546175311
TRINITY_DN5763_c0_g1_i1	3	1	4	0	0	3	6A	6W	1.56691851271331	4.3505065336076	0.0272762061430855	0.0827156657295577
TRINITY_DN14736_c0_g1_i1	0	0	0	0	5	15	6A	6W	1.04236738285963	1.72865163938453	0.489567608077814	0.643924518788308
TRINITY_DN5070_c0_g1_i2	9	8	9	7	4	7	6A	6W	1.01263976862371	4.00164503468928	0.148784770597186	0.262384124450299
TRINITY_DN20952_c0_g1_i1	11	2	2	0	0	1	6A	6W	-6.41846687081339	0.557219983327852	0.0022943436827339	0.0150011720297625
TRINITY_DN610_c0_g1_i5	0	11	3	0	28	0	6A	6W	0.774076678636153	3.60886551457677	0.26860314078906	0.416238320553167
TRINITY_DN15606_c0_g1_i1	29	18	4	6	49	28	6A	6W	-0.431987309414193	0.592083255219842	0.8494773628809	0.928762637801752
TRINITY_DN7620_c0_g1_i3	52	147	2	148	666	937	6A	6W	4.48186639946997	2.2591212670869	0.0002283836845164	0.0026490273042217
TRINITY_DN11112_c0_g1_i4	23	100	0	5	8	37	6A	6W	-1.25488104368602	0.745975873473396	0.351476045603703	0.507959928736359
TRINITY_DN164673_c0_g1_i1	0	0	1	1	0	0	6A	6W	-5.21736643054788	-0.179996346612485	0.0630008419264278	0.14531288380857
TRINITY_DN26093_c0_g1_i1	0	0	0	1	3	2	6A	6W	-4.43519659838298	4.9115097533173	5.22023991855141e-10	4.62361719402882e-08
TRINITY_DN24509_c0_g1_i1	1	1	1	3	8	2	6A	6W	-8.13123529723607	2.14089988204189	1.02844290825003e-06	3.34362103725308e-05
TRINITY_DN7558_c0_g1_i3	2	3	0	0	0	9	6A	6W	2.10191667755699	5.83598566277667	0.0002565287928345	0.0028945725419626
TRINITY_DN2945_c0_g1_i6	38	107	31	11	46	66	6A	6W	3.01232551381737	2.17649749909786	0.0140328507375887	0.0522476588408804
TRINITY_DN3450_c0_g1_i1	8	19	0	7	13	21	6A	6W	1.70157199981051	3.65274068942802	0.0228683983253428	0.0738155359736503
TRINITY_DN1484_c0_g1_i2	9	7	0	0	0	0	6A	6W	1.04098837438895	4.39956729733896	0.134876515274811	0.242431276080132
TRINITY_DN8101_c0_g1_i3	5	0	3	0	16	0	6A	6W	1.94404905718165	1.2058350552856	0.153420191924682	0.268657106626725
TRINITY_DN5104_c0_g1_i1	0	1	0	2	0	4	6A	6W	7.07625319867924	1.64876589081608	0.0008535348218644	0.0072652008616774
TRINITY_DN17426_c0_g1_i6	13	54	0	13	45	82	6A	6W	3.68106894944812	1.78282987571463	0.0088527247897281	0.0379746980422975
TRINITY_DN5934_c0_g1_i2	0	36	0	0	14	24	6A	6W	-0.535334791324537	2.21501646977539	0.507813061032177	0.66063539491984
TRINITY_DN5071_c0_g1_i8	3	14	0	0	0	4	6A	6W	-0.400941598055011	2.31844649921351	0.657680149091535	0.788382185795796
TRINITY_DN8121_c0_g2_i1	3	0	4	0	3	2	6A	6W	1.13555289072596	0.256972431299232	0.688412124502817	0.812076951897457
TRINITY_DN3149_c0_g1_i2	252	455	23	32	172	277	6A	6W	2.118117958178	4.05784739898238	0.0964306274653392	0.197328982246177
TRINITY_DN41080_c0_g1_i1	1	0	2	2	1	0	6A	6W	-6.34976333105853	0.503231358781657	0.0123747740899434	0.0476669417431057
TRINITY_DN22516_c0_g1_i4	11	11	0	0	0	0	6A	6W	0.784935862032056	4.10227358124211	0.20429616300945	0.336350239333384
TRINITY_DN4298_c0_g1_i1	54	90	4	3	39	75	6A	6W	5.92183384023487	6.18594355142128	9.1594404392575e-07	3.0369601338171e-05
TRINITY_DN122028_c0_g1_i1	0	1	2	0	4	3	6A	6W	-3.5607361648416	-0.266841922323794	0.132704187199137	0.239288499725011
TRINITY_DN1762_c0_g1_i1	11	54	6	5	48	59	6A	6W	-0.87908029588232	1.76861143931036	0.501946374887781	0.654984773558363
TRINITY_DN164030_c0_g1_i1	1	0	0	1	5	2	6A	6W	-3.64980091759571	-0.192950584619163	0.0900253931018956	0.187213024930325
TRINITY_DN10802_c0_g1_i1	0	1	2	0	0	3	6A	6W	5.45857395658659	0.528234249991824	0.115369141305252	0.22727942664002
TRINITY_DN9427_c0_g1_i1	6	24	0	2	7	17	6A	6W	8.21995394665601	2.57540921511697	1.82811011136133e-05	0.0003508009222227
TRINITY_DN713_c0_g1_i4	5	0	0	0	3	0	6A	6W	11.2574278770495	5.3687005825573	3.97347544773339e-16	1.74477619514731e-13
TRINITY_DN197_c0_g1_i3	8	27	0	0	19	23	6A	6W	-0.629559062450299	6.47102895293284	0.18659392225535	0.313222612694073
TRINITY_DN1471_c0_g1_i1	17	26	2	10	10	31	6A	6W	-7.70250027747588	4.90845609730628	3.3680740943490597e-12	5.835487205931571e-10
TRINITY_DN1172_c0_g1_i11	713	1292	32	256	998	1421	6A	6W	-0.124425310192112	5.83587111776875	0.922021935155842	0.973617528539673
TRINITY_DN1531_c0_g1_i1	13	10	2	2	11	49	6A	6W	3.0742890221201	2.13964007210369	0.074136858353869	0.164602905686239
TRINITY_DN2871_c0_g1_i2	2	0	15	0	7	0	6A	6W	2.34752951954974	4.78433097931899	0.0007427784728915	0.0065564697132249
TRINITY_DN7035_c0_g1_i1	10	13	0	0	0	17	6A	6W	1.07041684364044	3.84589376582944	0.296504710094717	0.448905837628989
TRINITY_DN5607_c0_g1_i1	0	0	0	1	9	10	6A	6W	2.02191148457628	2.32507671329885	0.0704930111252192	0.158312645080183
TRINITY_DN6257_c0_g1_i4	54	73	0	2	0	15	6A	6W	1.53628937873508	1.45160009097492	0.145712797376719	0.257986320072775
TRINITY_DN18580_c0_g1_i1	2	3	0	1	4	8	6A	6W	-0.674140389917916	0.798096530682684	0.74788216629567	0.856312683705375
TRINITY_DN3603_c0_g1_i4	2	7	0	0	5	10	6A	6W	-0.904832515474795	4.13161086381321	0.415861522491091	0.574332084354958
TRINITY_DN16314_c0_g1_i1	16	6	0	1	0	0	6A	6W	-3.66927282713163	2.67900791210921	0.0010035199172466	0.0082336254525177
TRINITY_DN4914_c0_g1_i8	4	0	0	1	0	0	6A	6W	-0.144739066470724	0.516164763081345	1.0	1.0
TRINITY_DN13386_c0_g1_i1	1	0	2	1	0	0	6A	6W	1.22080085133742	5.77661485896283	0.0735379255101638	0.163583120547817
TRINITY_DN8375_c0_g1_i1	4	4	1	0	0	0	6A	6W	6.97721054260428	1.57314051973081	0.0014171143082209	0.010649980399671
TRINITY_DN2758_c0_g1_i1	0	0	4	0	6	2	6A	6W	-0.673260026969266	4.27532453384552	0.384051179093934	0.542387763799929
TRINITY_DN19553_c0_g1_i1	9	21	0	1	8	3	6A	6W	5.62387481042838	0.6295225463067	0.0266630294273221	0.081748315069549
TRINITY_DN7137_c0_g1_i3	1	5	6	1	0	0	6A	6W	-0.242181229383374	3.19828898731383	0.904456299768451	0.962712523875944
TRINITY_DN6209_c0_g1_i1	0	1	9	1	3	2	6A	6W	0.958561667369011	1.04543844714948	0.462630913630499	0.619371213491244
TRINITY_DN19079_c0_g1_i1	2	0	8	0	2	5	6A	6W	-0.986552155852074	0.381191816478587	0.548240561961521	0.69675178258401
TRINITY_DN2542_c0_g1_i1	88	137	7	501	1672	2320	6A	6W	6.9550659781544	1.56005482998587	0.0048156854688429	0.0248343101189802
TRINITY_DN1666_c0_g1_i7	0	46	0	6	15	22	6A	6W	1.38803952244384	3.99405528996705	0.158153062413036	0.2752381320427
TRINITY_DN2163_c0_g1_i2	46	80	2	5	50	68	6A	6W	1.04888816099866	2.58570744085937	0.284821008446792	0.43522377866868
TRINITY_DN496_c0_g1_i1	8	28	3	18	36	46	6A	6W	1.03196458649966	4.18677512231181	0.431682766224358	0.589628446185533
TRINITY_DN5539_c0_g2_i1	14	4	9	12	9	8	6A	6W	-0.1190708561262	3.81843666810066	0.932531845527668	0.980800270834982
TRINITY_DN836_c0_g1_i2	17	43	0	0	0	17	6A	6W	-2.79063653930788	5.0830404180967	9.98222416705201e-07	3.26931714519066e-05
TRINITY_DN33_c1_g1_i2	34	67	0	2	155	193	6A	6W	-1.18256584298234	2.62156238794051	0.452417819233944	0.609315123676089
TRINITY_DN13662_c0_g1_i10	0	0	0	0	22	6	6A	6W	0.306956189087961	1.31994791929408	0.76114920226334	0.866081680446375
TRINITY_DN376_c0_g2_i1	12	16	1	0	33	41	6A	6W	2.69369676930984	3.88286898343065	0.0044039119225423	0.0233295953041037
TRINITY_DN3912_c0_g1_i2	10	22	0	0	13	28	6A	6W	4.6218996029116	2.36069079443147	0.0001974780176781	0.0023679956892248
TRINITY_DN6869_c0_g1_i1	0	0	0	3	5	3	6A	6W	1.96806999769344	1.59501474078833	0.0600010257745151	0.144602890290765
TRINITY_DN81129_c0_g1_i1	0	0	1	1	2	1	6A	6W	-2.56285166632878	-0.281479639018806	0.346098157685345	0.502028038669984
TRINITY_DN6503_c0_g1_i2	3	21	0	0	9	18	6A	6W	0.694040217115896	1.71865596719034	0.505545688264471	0.658470144777009
TRINITY_DN17097_c0_g1_i1	6	4	3	0	0	3	6A	6W	-1.2823495433418	3.40754934726486	0.0941219661979263	0.19377926284195
TRINITY_DN15384_c0_g1_i1	0	1	8	0	6	2	6A	6W	-0.20513949464042	1.01495899069146	1.0	1.0
TRINITY_DN19781_c0_g1_i1	0	5	0	0	0	4	6A	6W	0.49823359254027	2.95907071895459	0.515628670469495	0.667736815272918
TRINITY_DN3807_c0_g1_i1	1	12	15	0	6	1	6A	6W	9.60304918345899	3.80154342974731	1.69547889632068e-08	9.7511773447366e-07
TRINITY_DN17369_c0_g1_i2	13	53	1	2	14	3	6A	6W	4.95849937157457	0.245769633558622	0.167642990864988	0.288086707559453
TRINITY_DN357_c0_g1_i6	35	37	7	0	3	23	6A	6W	1.82210688374596	1.62201162640347	0.137826802249804	0.246836084279532
TRINITY_DN1770_c0_g1_i1	0	3	37	0	0	8	6A	6W	0.558514584318535	2.37133372082676	0.603596283205641	0.743644218393346
