GeneID	GeneName
G0581	Gene_0581
G0582	Gene_0582
G0583	Gene_0583
G0584	Gene_0584
G0585	Gene_0585
G0586	Gene_0586
G0587	Gene_0587
G0588	Gene_0588
G0589	Gene_0589
G0590	Gene_0590
G0591	Gene_0591
G0592	Gene_0592
G0593	Gene_0593
G0594	Gene_0594
G0595	Gene_0595
G0596	Gene_0596
G0597	Gene_0597
G0598	Gene_0598
G0599	Gene_0599
G0600	Gene_0600
G0601	Gene_0601
G0602	Gene_0602
G0603	Gene_0603
G0604	Gene_0604
G0605	Gene_0605
G0606	Gene_0606
G0607	Gene_0607
G0608	Gene_0608
G0609	Gene_0609
G0610	Gene_0610
G0611	Gene_0611
G0612	Gene_0612
G0613	Gene_0613
G0614	Gene_0614
G0615	Gene_0615
G0616	Gene_0616
G0617	Gene_0617
G0618	Gene_0618
G0619	Gene_0619
G0620	Gene_0620
G0621	Gene_0621
G0622	Gene_0622
G0623	Gene_0623
G0624	Gene_0624
G0625	Gene_0625
G0626	Gene_0626
G0627	Gene_0627
G0628	Gene_0628
G0629	Gene_0629
G0630	Gene_0630
G0631	Gene_0631
G0632	Gene_0632
G0633	Gene_0633
G0634	Gene_0634
G0635	Gene_0635
G0636	Gene_0636
G0637	Gene_0637
G0638	Gene_0638
G0639	Gene_0639
G0640	Gene_0640
G0641	Gene_0641
G0642	Gene_0642
G0643	Gene_0643
G0644	Gene_0644
G0645	Gene_0645
G0646	Gene_0646
G0647	Gene_0647
G0648	Gene_0648
G0649	Gene_0649
G0650	Gene_0650
G0651	Gene_0651
G0652	Gene_0652
G0653	Gene_0653
G0654	Gene_0654
G0655	Gene_0655
G0656	Gene_0656
G0657	Gene_0657
G0658	Gene_0658
G0659	Gene_0659
G0660	Gene_0660
G0661	Gene_0661
G0662	Gene_0662
G0663	Gene_0663
G0664	Gene_0664
G0665	Gene_0665
G0666	Gene_0666
G0667	Gene_0667
G0668	Gene_0668
G0669	Gene_0669
G0670	Gene_0670
G0671	Gene_0671
G0672	Gene_0672
G0673	Gene_0673
G0674	Gene_0674
G0675	Gene_0675
G0676	Gene_0676
G0677	Gene_0677
G0678	Gene_0678
G0679	Gene_0679
G0680	Gene_0680
G0681	Gene_0681
G0682	Gene_0682
G0683	Gene_0683
G0684	Gene_0684
G0685	Gene_0685
G0686	Gene_0686
G0687	Gene_0687
G0688	Gene_0688
G0689	Gene_0689
G0690	Gene_0690
G0691	Gene_0691
G0692	Gene_0692
G0693	Gene_0693
G0694	Gene_0694
G0695	Gene_0695
G0696	Gene_0696
G0697	Gene_0697
G0698	Gene_0698
G0699	Gene_0699
G0700	Gene_0700
G0701	Gene_0701
G0702	Gene_0702
G0703	Gene_0703
G0704	Gene_0704
G0705	Gene_0705
G0706	Gene_0706
G0707	Gene_0707
G0708	Gene_0708
G0709	Gene_0709
G0710	Gene_0710
G0711	Gene_0711
G0712	Gene_0712
G0713	Gene_0713
G0714	Gene_0714
G0715	Gene_0715
G0716	Gene_0716
G0717	Gene_0717
G0718	Gene_0718
G0719	Gene_0719
G0720	Gene_0720
G0721	Gene_0721
G0722	Gene_0722
G0723	Gene_0723
G0724	Gene_0724
G0725	Gene_0725
G0726	Gene_0726
G0727	Gene_0727
G0728	Gene_0728
G0729	Gene_0729
G0730	Gene_0730
G0731	Gene_0731
G0732	Gene_0732
G0733	Gene_0733
G0734	Gene_0734
G0735	Gene_0735
G0736	Gene_0736
G0737	Gene_0737
G0738	Gene_0738
G0739	Gene_0739
G0740	Gene_0740
G0741	Gene_0741
G0742	Gene_0742
G0743	Gene_0743
G0744	Gene_0744
G0745	Gene_0745
G0746	Gene_0746
G0747	Gene_0747
G0748	Gene_0748
G0749	Gene_0749
G0750	Gene_0750
G0751	Gene_0751
G0752	Gene_0752
G0753	Gene_0753
G0754	Gene_0754
G0755	Gene_0755
G0756	Gene_0756
G0757	Gene_0757
G0758	Gene_0758
G0759	Gene_0759
G0760	Gene_0760
G0761	Gene_0761
G0762	Gene_0762
G0763	Gene_0763
G0764	Gene_0764
G0765	Gene_0765
G0766	Gene_0766
G0767	Gene_0767
G0768	Gene_0768
G0769	Gene_0769
G0770	Gene_0770
G0771	Gene_0771
G0772	Gene_0772
G0773	Gene_0773
G0774	Gene_0774
G0775	Gene_0775
G0776	Gene_0776
G0777	Gene_0777
G0778	Gene_0778
G0779	Gene_0779
G0780	Gene_0780
G0781	Gene_0781
G0782	Gene_0782
G0783	Gene_0783
G0784	Gene_0784
G0785	Gene_0785
G0786	Gene_0786
G0787	Gene_0787
G0788	Gene_0788
G0789	Gene_0789
G0790	Gene_0790
G0791	Gene_0791
G0792	Gene_0792
G0793	Gene_0793
G0794	Gene_0794
G0795	Gene_0795
G0796	Gene_0796
G0797	Gene_0797
G0798	Gene_0798
G0799	Gene_0799
G0800	Gene_0800
G0801	Gene_0801
G0802	Gene_0802
G0803	Gene_0803
G0804	Gene_0804
G0805	Gene_0805
G0806	Gene_0806
G0807	Gene_0807
G0808	Gene_0808
G0809	Gene_0809
G0810	Gene_0810
G0811	Gene_0811
G0812	Gene_0812
G0813	Gene_0813
G0814	Gene_0814
G0815	Gene_0815
G0816	Gene_0816
G0817	Gene_0817
G0818	Gene_0818
G0819	Gene_0819
G0820	Gene_0820
G0821	Gene_0821
G0822	Gene_0822
G0823	Gene_0823
G0824	Gene_0824
G0825	Gene_0825
G0826	Gene_0826
G0827	Gene_0827
G0828	Gene_0828
G0829	Gene_0829
G0830	Gene_0830
G0831	Gene_0831
G0832	Gene_0832
G0833	Gene_0833
G0834	Gene_0834
G0835	Gene_0835
G0836	Gene_0836
G0837	Gene_0837
G0838	Gene_0838
G0839	Gene_0839
G0840	Gene_0840
G0841	Gene_0841
G0842	Gene_0842
G0843	Gene_0843
G0844	Gene_0844
G0845	Gene_0845
G0846	Gene_0846
G0847	Gene_0847
G0848	Gene_0848
G0849	Gene_0849
G0850	Gene_0850
G0851	Gene_0851
G0852	Gene_0852
G0853	Gene_0853
G0854	Gene_0854
G0855	Gene_0855
G0856	Gene_0856
G0857	Gene_0857
G0858	Gene_0858
G0859	Gene_0859
G0860	Gene_0860
G0861	Gene_0861
G0862	Gene_0862
G0863	Gene_0863
G0864	Gene_0864
G0865	Gene_0865
G0866	Gene_0866
G0867	Gene_0867
G0868	Gene_0868
G0869	Gene_0869
G0870	Gene_0870
G0871	Gene_0871
G0872	Gene_0872
G0873	Gene_0873
G0874	Gene_0874
G0875	Gene_0875
G0876	Gene_0876
G0877	Gene_0877
G0878	Gene_0878
G0879	Gene_0879
G0880	Gene_0880
G0881	Gene_0881
G0882	Gene_0882
G0883	Gene_0883
G0884	Gene_0884
G0885	Gene_0885
G0886	Gene_0886
G0887	Gene_0887
G0888	Gene_0888
G0889	Gene_0889
G0890	Gene_0890
G0891	Gene_0891
G0892	Gene_0892
G0893	Gene_0893
G0894	Gene_0894
G0895	Gene_0895
G0896	Gene_0896
G0897	Gene_0897
G0898	Gene_0898
G0899	Gene_0899
G0900	Gene_0900
G0901	Gene_0901
G0902	Gene_0902
G0903	Gene_0903
G0904	Gene_0904
G0905	Gene_0905
G0906	Gene_0906
G0907	Gene_0907
G0908	Gene_0908
G0909	Gene_0909
G0910	Gene_0910
G0911	Gene_0911
G0912	Gene_0912
G0913	Gene_0913
G0914	Gene_0914
G0915	Gene_0915
G0916	Gene_0916
G0917	Gene_0917
G0918	Gene_0918
G0919	Gene_0919
G0920	Gene_0920
G0921	Gene_0921
G0922	Gene_0922
G0923	Gene_0923
G0924	Gene_0924
G0925	Gene_0925
G0926	Gene_0926
G0927	Gene_0927
G0928	Gene_0928
G0929	Gene_0929
G0930	Gene_0930
G0931	Gene_0931
G0932	Gene_0932
G0933	Gene_0933
G0934	Gene_0934
G0935	Gene_0935
G0936	Gene_0936
G0937	Gene_0937
G0938	Gene_0938
G0939	Gene_0939
G0940	Gene_0940
G0941	Gene_0941
G0942	Gene_0942
G0943	Gene_0943
G0944	Gene_0944
G0945	Gene_0945
G0946	Gene_0946
G0947	Gene_0947
G0948	Gene_0948
G0949	Gene_0949
G0950	Gene_0950
G0951	Gene_0951
G0952	Gene_0952
G0953	Gene_0953
G0954	Gene_0954
G0955	Gene_0955
G0956	Gene_0956
G0957	Gene_0957
G0958	Gene_0958
G0959	Gene_0959
G0960	Gene_0960
G0961	Gene_0961
G0962	Gene_0962
G0963	Gene_0963
G0964	Gene_0964
G0965	Gene_0965
G0966	Gene_0966
G0967	Gene_0967
G0968	Gene_0968
G0969	Gene_0969
G0970	Gene_0970
G0971	Gene_0971
G0972	Gene_0972
G0973	Gene_0973
G0974	Gene_0974
G0975	Gene_0975
G0976	Gene_0976
G0977	Gene_0977
G0978	Gene_0978
G0979	Gene_0979
G0980	Gene_0980
G0981	Gene_0981
G0982	Gene_0982
G0983	Gene_0983
G0984	Gene_0984
G0985	Gene_0985
G0986	Gene_0986
G0987	Gene_0987
G0988	Gene_0988
G0989	Gene_0989
G0990	Gene_0990
G0991	Gene_0991
G0992	Gene_0992
G0993	Gene_0993
G0994	Gene_0994
G0995	Gene_0995
G0996	Gene_0996
G0997	Gene_0997
G0998	Gene_0998
G0999	Gene_0999
