GeneID	Expression_1	Expression_2	Significant
G0102	58.9205	61.5376	no
G0103	8.997	10.9982	no
G0104	8.49193	7.42867	no
G0105	5.86391	4.79265	no
G0106	11.7448	12.9008	no
G0107	248.401	256.26	no
G0108	13.9432	10.4677	no
G0109	64.2438	79.6075	no
G0110	14.3075	17.4766	no
G0111	18.6807	16.9848	no
G0112	13.058	11.3108	no
G0113	13.0952	14.8742	no
G0114	8.67439	10.0756	no
G0115	251.513	238.314	no
G0116	49.2139	413.761	yes
G0117	7.4964	7.3639	no
G0118	5.86569	5.16162	no
G0119	7.52786	5.85309	no
G0120	5.32721	4.60724	no
G0121	48.1246	45.7577	no
G0122	11.4513	12.6762	no
G0123	9.8937	12.6986	no
G0124	885.086	1219.78	no
G0125	8.04086	7.38832	no
G0126	23.6442	33.2972	no
G0127	6.57177	8.28729	no
G0128	13.7511	16.0107	no
G0129	28.286	25.8111	no
G0130	20.4391	25.17	no
G0131	2.96731	3.45499	no
G0132	22.8814	29.434	no
G0133	9.61204	9.07449	no
G0134	11.9112	14.2313	no
G0135	115.316	152.449	no
G0136	3.20607	3.12993	no
G0137	7.04762	6.57937	no
G0138	62.4536	46.1972	no
G0139	17.1329	20.7658	no
G0140	23.6733	27.322	no
G0141	1.42193	1.46475	no
G0142	3.90058	3.18844	no
G0143	2.23137	2.30837	no
G0144	17.9059	13.9686	no
G0145	25.0554	32.9445	no
G0146	26.1499	20.5319	no
G0147	97.3043	90.6987	no
G0148	7.3571	7.31271	no
G0149	14.052	13.0719	no
G0150	15.4038	17.5841	no
G0151	5.92495	4.60904	no
G0152	27.007	20.6184	no
G0153	7.77223	5.77656	no
G0154	97.9118	130.414	no
G0155	13.8705	10.4346	no
G0156	92.0043	122.448	no
G0157	7.74213	10.4595	no
G0158	1.81282	1.649	no
G0159	9.8275	10.6858	no
G0160	3.96222	3.00256	no
G0161	48.8949	61.4531	no
G0162	3.67679	3.0698	no
G0163	29.0994	27.4766	no
G0164	15.1749	16.1918	no
G0165	3.15568	3.04252	no
G0166	54.1697	62.2103	no
G0167	7.2722	6.35404	no
G0168	24.5413	27.3295	no
G0169	17.4965	22.7135	no
G0170	5.1172	4.82414	no
G0171	6.15114	5.18036	no
G0172	7.06722	7.66309	no
G0173	13.7703	11.3439	no
G0174	14.3436	14.3847	no
G0175	13.6277	13.5091	no
G0176	9.81558	7.52665	no
G0177	403.253	503.735	no
G0178	15.1489	16.4205	no
G0179	12.4632	12.756	no
G0180	13.4723	13.576	no
G0181	8.05687	10.417	no
G0182	13.5304	12.9976	no
G0183	29.4049	40.4438	no
G0184	16.3557	14.4151	no
G0185	8.4968	10.0546	no
G0186	8.39963	7.8516	no
G0187	11.9737	16.2711	no
G0188	0.965282	1.15132	no
G0189	13.0276	17.5647	no
G0190	10.3045	12.5178	no
G0191	2.32174	2.55114	no
G0192	7.89725	7.12882	no
G0193	12.6005	17.3053	no
G0194	1.64655	2.24098	no
G0195	11.2932	11.2443	no
G0196	26.0482	25.9333	no
G0197	16.3818	17.021	no
G0198	22.2663	18.7202	no
G0199	3.24463	3.89853	no
G0200	8.30206	6.08953	no
G0201	4.36236	3.52934	no
G0202	6.29795	5.8011	no
G0203	13.9175	12.3037	no
G0204	4.31936	5.51216	no
G0205	16.7167	14.9186	no
G0206	5.51185	3.91206	no
G0207	12.1975	16.3043	no
G0208	17.6611	16.8958	no
G0209	10.2522	11.276	no
G0210	2.58769	2.13066	no
G0211	7.74629	8.93357	no
G0212	13.6637	12.1057	no
G0213	4.38718	3.12625	no
G0214	18.7967	23.3287	no
G0215	2.742	2.73844	no
G0216	5.75947	6.9614	no
G0217	3.06529	3.70646	no
G0218	16.9172	16.2257	no
G0219	29.2583	28.9307	no
G0220	13.4781	14.8127	no
G0221	8.03904	7.00853	no
G0222	18.4919	19.0466	no
G0223	5.50112	6.09097	no
G0224	23.9401	29.148	no
G0225	17.66	14.2901	no
G0226	7.7738	7.32707	no
G0227	7.26492	6.09195	no
G0228	1.84087	1.50321	no
G0229	5.51741	4.56625	no
G0230	13.1328	15.6756	no
G0231	3.68251	5.01899	no
G0232	66.2151	91.2185	no
G0233	6.24695	6.24557	no
G0234	2.52957	2.89021	no
G0235	6.10506	7.67948	no
G0236	19.4053	18.5633	no
G0237	1.66523	1.85729	no
G0238	5.32413	4.49901	no
G0239	4.31715	3.9749	no
G0240	6.95956	7.85503	no
G0241	2.20108	2.07482	no
G0242	29.7348	37.0652	no
G0243	15.4573	19.6709	no
G0244	29.8751	25.1603	no
G0245	5.32222	5.47439	no
G0246	8.35082	6.23761	no
G0247	4.21839	3.3586	no
G0248	12.4246	16.5807	no
G0249	19.8172	17.153	no
G0250	11.1448	11.2886	no
G0251	8.99984	9.26061	no
G0252	10.0043	7.52811	no
G0253	4.94121	4.29305	no
G0254	6.79523	5.38723	no
G0255	9.68677	10.8782	no
G0256	3.9004	2.88706	no
G0257	19.7504	18.5723	no
G0258	1.06165	0.835983	no
G0259	63.4372	49.7144	no
G0260	2.85139	3.24783	no
G0261	20.5147	19.5615	no
G0262	4.08982	5.49242	no
G0263	13.9248	16.2053	no
G0264	8.67562	7.13256	no
G0265	9.79793	9.19058	no
G0266	11.1429	8.64797	no
G0267	3.12188	3.81967	no
G0268	8.63784	9.69048	no
G0269	2.0032	1.6383	no
G0270	1.65799	1.77848	no
G0271	5.03678	4.49268	no
G0272	5.75943	4.77653	no
G0273	9.97484	12.0111	no
G0274	5.13659	4.16187	no
G0275	4.69526	6.39628	no
G0276	8.29566	6.48518	no
G0277	1.78651	1.62496	no
G0278	8.60046	7.09002	no
G0279	5.0561	3.69377	no
G0280	17.6785	23.8978	no
G0281	14.7324	19.1011	no
G0282	69.9109	93.1242	no
G0283	2.74241	2.17213	no
G0284	7.22695	5.97411	no
G0285	3.4234	3.66025	no
G0286	4.87657	3.73439	no
G0287	13.4747	11.548	no
G0288	12.021	12.3924	no
G0289	3.8687	4.06521	no
G0290	707.272	793.906	no
G0291	13.6669	12.3219	no
G0292	17.4848	12.9798	no
G0293	322.132	396.656	no
G0294	3.9135	4.2656	no
G0295	40.8107	39.2116	no
G0296	12.9975	18.2735	no
G0297	1.88448	2.63107	no
G0298	63.9188	74.6948	no
G0299	1.1913	0.952689	no
G0300	8.39954	9.47309	no
G0301	31.5114	34.6125	no
G0302	3.26642	3.07249	no
G0303	6.69643	7.61113	no
G0304	14.269	11.604	no
G0305	2.77034	3.59356	no
G0306	21.4544	24.194	no
G0307	12.7101	12.7207	no
G0308	26.2991	21.1586	no
G0309	1.5353	1.6314	no
G0310	31.3184	39.9743	no
G0311	7.12114	5.65177	no
G0312	18.7217	26.2583	no
G0313	20.2131	23.8466	no
G0314	17.9793	18.4812	no
G0315	11.0573	13.2721	no
G0316	5.452	5.51467	no
G0317	477.386	578.8	no
G0318	9.20072	10.318	no
G0319	34.5291	36.9881	no
G0320	8.77794	10.146	no
G0321	10.5062	12.1096	no
G0322	4.74311	5.71234	no
G0323	24.4939	22.5654	no
G0324	4.74699	5.76217	no
G0325	557.717	679.265	no
G0326	65.6467	81.7242	no
G0327	11.7345	12.5421	no
G0328	19.8906	15.6027	no
G0329	2.51061	1.94898	no
G0330	12.9016	12.6358	no
G0331	4.63929	5.19455	no
G0332	4.24312	3.56447	no
G0333	4.36841	4.4336	no
G0334	8.49158	10.5627	no
G0335	28.5062	26.6142	no
G0336	55.7158	46.9563	no
G0337	27.3356	26.216	no
G0338	5.95935	5.60355	no
G0339	4.22259	3.81734	no
G0340	101.825	102.19	no
G0341	6.03182	5.08611	no
G0342	11.0424	8.28273	no
G0343	9.59705	9.62518	no
G0344	5.54338	5.84497	no
G0345	23.7709	23.1573	no
G0346	18.1711	18.267	no
G0347	113.306	134.012	no
G0348	11.2939	12.2794	no
G0349	93.784	81.4484	no
G0350	23.2617	22.6814	no
G0351	13.6824	14.2505	no
G0352	21.3182	20.5223	no
G0353	805.703	634.245	no
G0354	130.995	162.573	no
G0355	6.08606	5.59777	no
G0356	1.36208	1.06246	no
G0357	4.483	4.34195	no
G0358	21.7606	26.1519	no
G0359	7.15284	5.8179	no
G0360	8.29401	10.4835	no
G0361	5.55451	5.58789	no
G0362	19.3058	19.0558	no
G0363	47.5382	63.8122	no
G0364	14.1591	10.0177	no
G0365	23.4404	20.4053	no
G0366	5.90333	5.23414	no
G0367	31.8954	35.7565	no
G0368	3.35254	3.85438	no
G0369	27.3621	27.7791	no
G0370	2.15581	2.0958	no
G0371	37.3415	32.8424	no
G0372	6.61694	6.0253	no
G0373	102.655	107.772	no
G0374	12.374	17.0268	no
G0375	7.16593	8.51526	no
G0376	53.3834	64.6146	no
G0377	16.0258	21.9483	no
G0378	19.2378	21.1763	no
G0379	11.9433	13.2528	no
G0380	12.1715	10.7548	no
G0381	12.7242	15.1567	no
G0382	16.3393	15.7877	no
G0383	3.52495	2.92922	no
G0384	2.71032	2.76536	no
G0385	12.0385	15.1432	no
G0386	10.7226	10.2304	no
G0387	4.83537	6.57791	no
G0388	6.39978	5.50237	no
G0389	10.5676	11.3598	no
G0390	94.0155	67.4326	no
G0391	2.87955	3.73194	no
G0392	26.4282	32.5996	no
G0393	5.81056	4.31576	no
G0394	10.6283	9.29393	no
G0395	11.933	12.9034	no
G0396	95.8151	96.5168	no
G0397	12.4581	15.9407	no
G0398	66.0793	73.9629	no
G0399	134.39	178.667	no
G0400	77.9361	96.3714	no
G0401	10.8792	13.4169	no
G0402	8.28286	8.02093	no
G0403	2.95431	3.09561	no
G0404	3.07499	4.06763	no
G0405	3.07778	2.19289	no
G0406	14.9878	17.8262	no
G0407	10.7157	11.0099	no
G0408	19.9282	21.1865	no
G0409	4.17067	3.36734	no
G0410	9.69969	10.6838	no
G0411	41.4182	41.0334	no
G0412	10.3848	9.39291	no
G0413	238.399	260.785	no
G0414	17.5489	14.8184	no
G0415	13.0847	14.3004	no
G0416	23.3868	29.4813	no
G0417	11.3008	9.71738	no
G0418	9.68542	12.2456	no
G0419	5.29181	5.40848	no
G0420	12.1449	9.07961	no
G0421	11.1931	11.4495	no
G0422	7.40132	5.48208	no
G0423	10.3643	8.71523	no
G0424	66.2761	61.5368	no
G0425	8.39852	10.8206	no
G0426	10.3556	9.41367	no
G0427	5.22448	5.92081	no
G0428	4.20267	3.88441	no
G0429	6.59342	7.11832	no
G0430	3.61621	3.72031	no
G0431	8.93554	8.4622	no
G0432	5.55125	5.90505	no
G0433	4.36464	6.0181	no
G0434	4.80129	3.40612	no
G0435	5.79726	6.23761	no
G0436	131.001	182.811	no
G0437	7.37607	6.00573	no
G0438	27.7602	22.3025	no
G0439	65.2757	68.9116	no
G0440	10.3754	10.6601	no
G0441	8.13332	8.98688	no
G0442	9.39574	10.1783	no
G0443	3.86136	3.56368	no
G0444	162.837	195.654	no
G0445	7.16858	6.66523	no
G0446	57.9346	78.486	no
G0447	9.46143	10.4677	no
G0448	2.13678	2.56576	no
G0449	4.55504	3.99309	no
G0450	6.42421	6.02015	no
G0451	1.09429	13.9349	yes
G0452	5.3014	5.38995	no
G0453	343.232	41.0589	yes
G0454	11.2038	12.5833	no
G0455	10.3201	8.48586	no
G0456	349.684	383.746	no
G0457	32.9473	30.1676	no
G0458	1.54574	1.14303	no
G0459	309.863	349.695	no
G0460	19.252	16.497	no
G0461	11.7717	15.3809	no
G0462	26.3983	21.4376	no
G0463	4.28575	5.10867	no
G0464	9.50381	8.86201	no
G0465	22.5593	19.3008	no
G0466	4.05633	5.61248	no
G0467	4.74306	5.65642	no
G0468	16.8605	18.4181	no
G0469	25.2882	19.7159	no
G0470	5.87282	5.13343	no
G0471	11.3787	9.79361	no
G0472	3.94108	3.2704	no
G0473	3.63013	4.44699	no
G0474	1659.04	2258.37	no
G0475	5.38091	4.46355	no
G0476	21.3716	18.7858	no
G0477	12.0878	9.84311	no
G0478	11.8361	11.0412	no
G0479	2.86539	2.30443	no
G0480	5.69945	4.62783	no
G0481	0.717334	0.898022	no
G0482	2.31896	1.74052	no
G0483	5.84579	5.13437	no
G0484	4.1993	3.55201	no
G0485	2.46997	1.85629	no
G0486	10.5491	7.49913	no
G0487	11.9121	10.8827	no
G0488	15.4414	13.2089	no
G0489	28.0799	26.6825	no
G0490	17.3275	22.4271	no
G0491	9.4981	7.35316	no
G0492	8.69806	9.27013	no
G0493	3.97174	4.58832	no
G0494	9.4052	10.8865	no
G0495	10.2565	12.6528	no
G0496	6.81147	6.65896	no
G0497	10.2212	11.926	no
G0498	4.72471	6.06517	no
G0499	8.77472	7.36448	no
G0500	4.15517	4.13462	no
G0501	2.00562	1.65826	no
G0502	137.907	184.651	no
G0503	14.3136	15.741	no
G0504	2.34446	2.35475	no
G0505	9.73484	11.8909	no
G0506	8.98425	7.14869	no
G0507	0.885467	0.757771	no
G0508	7.49422	9.26807	no
G0509	12.9715	13.3813	no
G0510	17.8764	14.0672	no
G0511	14.6527	19.2318	no
G0512	15.2016	15.4883	no
G0513	7.26917	6.13392	no
G0514	3.85697	4.62239	no
G0515	12.1568	15.963	no
G0516	39.1809	37.324	no
G0517	5.77699	6.68394	no
G0518	14.1591	19.7224	no
G0519	25.3756	22.7267	no
G0520	12.3843	8.90267	no
G0521	5.02118	5.55371	no
G0522	22.3863	30.0548	no
G0523	7.14814	10.1043	no
G0524	15.1331	14.1919	no
G0525	6.1638	4.87044	no
G0526	27.0867	23.1995	no
G0527	52.34	45.3825	no
G0528	97.1035	92.4638	no
G0529	133.05	162.488	no
G0530	1.44309	1.53272	no
G0531	21.827	22.7428	no
G0532	20.1356	18.9242	no
G0533	6.51029	6.71749	no
G0534	5.86808	8.22782	no
G0535	9.92826	13.8977	no
G0536	10.8039	13.3958	no
G0537	3.64597	5.05201	no
G0538	2.96857	3.15387	no
G0539	10.5949	13.097	no
G0540	8.08143	6.49392	no
G0541	3.55017	3.47452	no
G0542	5.50755	5.6202	no
G0543	8.64662	7.02866	no
G0544	7.67433	7.37528	no
G0545	21.9424	29.4902	no
G0546	10.1395	13.2661	no
G0547	8.84042	12.2995	no
G0548	2.76019	2.65219	no
G0549	5.82954	4.9946	no
G0550	1.14485	1.08342	no
G0551	42.1282	46.4495	no
G0552	70.5855	72.2928	no
G0553	4.64684	4.23276	no
G0554	9.65373	7.92636	no
G0555	5.95787	5.63072	no
G0556	29.8639	34.9598	no
G0557	5.4052	5.89584	no
G0558	6.88584	9.12108	no
G0559	54.7313	60.4595	no
G0560	1.65242	1.84284	no
G0561	16.955	21.9123	no
G0562	21.1685	17.0624	no
G0563	12.6014	13.854	no
G0564	4.28107	3.11892	no
G0565	174.165	141.596	no
G0566	9.91303	8.54274	no
G0567	80.0647	101.869	no
G0568	9.69279	12.4274	no
G0569	22.4241	28.4999	no
G0570	114.266	108.887	no
G0571	3.32812	3.60628	no
G0572	7.90792	7.37474	no
G0573	11.7226	15.9624	no
G0574	214.713	249.007	no
G0575	4.19394	3.29993	no
G0576	8.87603	11.0757	no
G0577	7.77183	5.53219	no
G0578	3.41687	4.69082	no
G0579	6.98906	4.99994	no
G0580	98.558	103.173	no
G0581	3.75006	3.7894	no
G0582	14.8816	19.6064	no
G0583	64.7206	56.8196	no
G0584	8.66244	9.6301	no
G0585	46.8756	48.6337	no
G0586	26.6703	29.0682	no
G0587	23.1212	29.2405	no
G0588	4.79533	5.06288	no
G0589	13.3542	14.353	no
G0590	10.1975	10.1774	no
G0591	15.1146	17.4634	no
G0592	7.62124	6.11216	no
G0593	0.918625	0.754733	no
G0594	1.44161	1.60551	no
G0595	3.33343	4.56312	no
G0596	8.93092	8.68793	no
G0597	13.9002	13.2452	no
G0598	4.00838	3.9863	no
G0599	14.0727	15.0417	no
G0600	73.7696	89.972	no
G0601	6.14381	6.14799	no
G0602	22.7551	24.4363	no
G0603	6.62409	6.03179	no
G0604	1.73783	1.80577	no
G0605	22.3428	24.981	no
G0606	8.3194	9.29673	no
G0607	5.66855	4.21274	no
G0608	18.6536	20.1468	no
G0609	11.8686	10.7147	no
G0610	2.89996	2.59078	no
G0611	3457.49	4372.78	no
G0612	45.6192	39.0614	no
G0613	15.2952	16.227	no
G0614	9.74675	10.1684	no
G0615	102.107	4.44	yes
G0616	11.1184	10.1398	no
G0617	3.42281	3.14146	no
G0618	13.749	14.3683	no
G0619	134.597	109.459	no
G0620	19.0355	13.9982	no
G0621	21.8256	22.0468	no
G0622	22.6701	23.2897	no
G0623	5.59059	7.05282	no
G0624	11.0351	10.1599	no
G0625	17.5971	15.2308	no
G0626	6.13057	4.79659	no
G0627	2.14746	1.55432	no
G0628	6.44622	5.3212	no
G0629	2.23128	2.56025	no
G0630	35.426	33.334	no
G0631	9.85902	10.9129	no
G0632	2.07821	2.76675	no
G0633	414.463	446.714	no
G0634	11.6509	15.8656	no
G0635	2.66878	3.1419	no
G0636	16.0533	17.2279	no
G0637	8.75588	8.57505	no
G0638	2.81965	3.36755	no
G0639	5.83525	6.03074	no
G0640	445.434	617.669	no
G0641	14.4825	15.7584	no
G0642	5.43329	5.04462	no
G0643	14.4243	14.6537	no
G0644	45.2795	45.3196	no
G0645	7.45602	5.78741	no
G0646	10.4894	12.3612	no
G0647	8.67213	10.0348	no
G0648	4.36149	4.12009	no
G0649	17.2601	12.5707	no
G0650	3.7298	3.51658	no
G0651	19.0666	13.5496	no
G0652	1.29489	1.76743	no
G0653	10.8178	12.4426	no
G0654	7.55558	8.40531	no
G0655	3.39643	3.13567	no
G0656	20.5384	21.0759	no
G0657	9.92144	7.49088	no
G0658	9.97009	7.80771	no
G0659	33.397	43.4704	no
G0660	22.5697	18.5192	no
G0661	17.6118	15.0282	no
G0662	44.3675	62.178	no
G0663	20.8628	20.501	no
G0664	25.5786	33.7839	no
G0665	27.0854	26.4588	no
G0666	11.3004	8.70088	no
G0667	75.0284	88.3572	no
G0668	20.4696	14.8666	no
G0669	63.0536	73.749	no
G0670	3.20594	2.33442	no
G0671	6.99906	6.24442	no
G0672	3.55157	3.67618	no
G0673	1311.63	1379	no
G0674	7.97169	7.49931	no
G0675	6.68119	6.83794	no
G0676	22.3565	27.8778	no
G0677	8.1165	6.30932	no
G0678	23.4974	27.1439	no
G0679	4.70525	3.56195	no
G0680	12.4204	14.2412	no
G0681	152.605	171.99	no
G0682	10.3629	9.53361	no
G0683	4.19947	4.24538	no
G0684	12.6052	10.7247	no
G0685	41.6703	34.1225	no
G0686	17.8966	15.5571	no
G0687	26.5822	24.2376	no
G0688	10.3185	8.22158	no
G0689	29.1284	27.4702	no
G0690	56.0586	77.8078	no
G0691	2.49319	1.88778	no
G0692	5.39354	5.84297	no
G0693	7.43067	7.40627	no
G0694	11.0589	9.15783	no
G0695	13.8135	9.89454	no
G0696	3.84796	4.74459	no
G0697	8.61262	11.3034	no
G0698	3.46088	3.49615	no
G0699	15.5623	20.9402	no
G0700	31.7359	32.4089	no
G0701	10.1444	12.3355	no
G0702	2.66466	2.18887	no
G0703	2.58958	3.04919	no
G0704	3.40016	3.98905	no
G0705	10.903	7.77873	no
G0706	9.03519	6.87484	no
G0707	2.49084	1.77716	no
G0708	15.5928	17.777	no
G0709	57.8773	63.084	no
G0710	12.9109	11.945	no
G0711	6.80313	7.35704	no
G0712	58.5336	43.8263	no
G0713	12.7579	10.3146	no
G0714	6.93061	6.56084	no
G0715	6.34043	5.99516	no
G0716	11.6044	8.54109	no
G0717	18.0399	19.8333	no
G0718	4.09925	3.16552	no
G0719	20.2676	28.3108	no
G0720	11.1508	11.6833	no
G0721	19.4646	14.5582	no
G0722	16.1446	16.6692	no
G0723	4.71604	4.93081	no
G0724	3.6796	3.31091	no
G0725	24.2445	28.1102	no
G0726	110.902	81.1261	no
G0727	181.783	206.952	no
G0728	3.86608	3.86666	no
G0729	12.3431	13.6311	no
G0730	19.5892	20.36	no
G0731	16.7598	15.3199	no
G0732	17.1998	18.732	no
G0733	9.05252	9.86749	no
G0734	3.35069	3.66544	no
G0735	30.0283	36.9003	no
G0736	10.5329	13.5845	no
G0737	13.031	13.1574	no
G0738	17.5447	17.9552	no
G0739	9.31065	7.60595	no
G0740	19.2363	16.2169	no
G0741	25.6817	22.2625	no
G0742	22.3328	25.2911	no
G0743	4.94793	3.97103	no
G0744	5.03354	3.81412	no
G0745	58.613	62.9512	no
G0746	30.1875	37.3623	no
G0747	3.15398	2.80674	no
G0748	16.9437	14.1133	no
G0749	8.29073	5.93145	no
G0750	9.65552	9.67876	no
G0751	0.779056	1.04567	no
G0752	9.66419	8.66549	no
G0753	7.70671	7.63961	no
G0754	236.953	268.802	no
G0755	6.57047	7.64285	no
G0756	6.15437	4.93737	no
G0757	88.6619	66.4549	no
G0758	27.0294	20.1344	no
G0759	6.42804	8.46293	no
G0760	7.95053	5.70838	no
G0761	79.6171	80.3873	no
G0762	3.88573	4.13237	no
G0763	3.54691	4.15422	no
G0764	9.48693	7.97349	no
G0765	18.7075	17.4404	no
G0766	5.39022	4.00613	no
G0767	12.6295	12.1613	no
G0768	8.83547	8.37424	no
G0769	5.24053	3.91368	no
G0770	1.27692	1.1702	no
G0771	26.4741	29.6789	no
G0772	6.05653	6.11825	no
G0773	1.09145	1.53739	no
G0774	5.39307	6.15642	no
G0775	1.53451	1.75795	no
G0776	17.4391	17.8731	no
G0777	4.00274	3.18698	no
G0778	6.23318	4.56496	no
G0779	19.7996	15.5392	no
G0780	5.18174	5.62193	no
G0781	6.26755	5.95	no
G0782	23.8315	29.1473	no
G0783	2.74438	2.92331	no
G0784	19.4437	22.4663	no
G0785	9.25488	9.301	no
G0786	34.5264	44.1194	no
G0787	1.03049	0.914421	no
G0788	13.4275	10.6612	no
G0789	4.13006	3.2311	no
G0790	6.79003	5.18645	no
G0791	34.488	33.4493	no
G0792	14.0662	11.5865	no
G0793	82.2304	94.5869	no
G0794	8.63805	9.0082	no
G0795	3.25012	3.44314	no
G0796	25.2704	26.9604	no
G0797	11.2783	9.60868	no
G0798	32.774	46.3335	no
G0799	13.0685	17.345	no
G0800	1.338	1.87858	no
G0801	1.48212	1.0978	no
G0802	24.9294	33.9264	no
G0803	9.08882	7.66622	no
G0804	4.69917	4.23488	no
G0805	39.7607	44.1523	no
G0806	5.34457	4.04957	no
G0807	6.74433	9.5041	no
G0808	2.80587	2.39178	no
G0809	10.6791	12.0166	no
G0810	157.675	205.988	no
G0811	27.6468	27.1988	no
G0812	87.752	119.898	no
G0813	7.55831	7.04569	no
G0814	160.797	181.737	no
G0815	12.1772	12.4243	no
G0816	11.6373	11.3948	no
G0817	7.24644	7.06766	no
G0818	9.11039	11.7549	no
G0819	11.1142	13.9436	no
G0820	5.84134	5.99547	no
G0821	1.51405	1.80984	no
G0822	9.91116	10.8946	no
G0823	20.8731	14.7638	no
G0824	7.37659	6.06717	no
G0825	23.8957	30.9166	no
G0826	136.216	150.511	no
G0827	8.43805	9.69525	no
G0828	23.7851	21.2946	no
G0829	265.965	216.421	no
G0830	16.6433	17.5638	no
G0831	11.1702	14.4278	no
G0832	3.79357	3.62869	no
G0833	2.16221	1.54605	no
G0834	12.0966	12.975	no
G0835	2.63394	2.90029	no
G0836	10.8138	8.37836	no
G0837	1.26535	1.66976	no
G0838	22.0382	29.282	no
G0839	25.6307	32.9748	no
G0840	7.5057	6.73886	no
G0841	5.08839	6.3866	no
G0842	3.95921	3.77319	no
G0843	5.95333	6.6429	no
G0844	19.3334	18.1395	no
G0845	12.6459	11.6529	no
G0846	2.48872	2.85914	no
G0847	8.93001	8.10517	no
G0848	8.8614	7.47566	no
G0849	2.07415	1.57887	no
G0850	103.052	86.4654	no
G0851	11.0941	9.39594	no
G0852	0.722732	0.83984	no
G0853	32.7002	30.1646	no
G0854	6.57528	5.62953	no
G0855	55.6207	48.1695	no
G0856	8.21942	10.3248	no
G0857	7.28487	7.61018	no
G0858	9.2934	10.9677	no
G0859	8.55498	11.5146	no
G0860	10.1819	7.99062	no
G0861	76.7296	84.9389	no
G0862	3.54938	3.53616	no
G0863	6.65393	5.34781	no
G0864	2.38597	2.18855	no
G0865	9.94465	9.34103	no
G0866	6.43685	8.50905	no
G0867	39.4436	53.7584	no
G0868	7.70948	6.16574	no
G0869	10.8121	8.57576	no
G0870	6.42401	5.55671	no
G0871	11.7003	14.6469	no
G0872	144.268	135.321	no
G0873	49.4385	36.3522	no
G0874	13.2681	14.2521	no
G0875	7.75647	9.10081	no
G0876	2.77704	2.81944	no
G0877	17.042	13.5641	no
G0878	4.31715	3.40706	no
G0879	11.0739	8.97898	no
G0880	12.4383	11.6516	no
G0881	14.525	19.4259	no
G0882	5.17165	4.41648	no
